,current_delta,soc_coulomb,soc_kalman
305,2.3667,[-801.89619547],[-504.0630924]
306,1.9156,[-807.69168074],[-509.85857767]
307,0.97617,[-812.38252942],[-514.54942635]
308,-0.62823,[-814.77293752],[-516.93983445]
309,0.24381,[-813.23455171],[-501.49207442]
310,0.46769,[-813.8315844],[-502.08910711]
311,1.156,[-814.97684594],[-503.23436865]
312,0.69207,[-817.80761493],[-506.06513764]
313,1.3812,[-819.50232972],[-507.75985243]
314,1.1527,[-822.88455994],[-511.14208265]
315,1.6173,[-825.70724801],[-513.96477072]
316,3.2663,[-829.66763096],[-517.92515367]
317,2.3718,[-837.66602261],[-525.92354532]
318,3.5953,[-843.47399656],[-531.73151927]
319,4.151,[-852.27803095],[-526.28080311]
320,3.4975,[-862.44284243],[-536.44561459]
321,5.3167,[-871.00738788],[-545.01016004]
322,4.1756,[-884.02672135],[-558.02949351]
323,3.7387,[-894.25177238],[-568.25454454]
324,-0.94696,[-903.40695925],[-577.40973141]
325,-2.8522,[-901.08807949],[-575.09085165]
326,0.33794,[-894.10372023],[-568.10649238]
327,3.3004,[-894.93125489],[-568.93402705]
328,4.3626,[-903.01314933],[-577.01592149]
329,2.4058,[-913.69611888],[-572.46179461]
330,4.2276,[-919.58735074],[-578.35302647]
331,2.4839,[-929.9397374],[-588.70541313]
332,2.505,[-936.02221759],[-594.78789332]
333,1.4794,[-942.15636665],[-600.92204238]
334,2.5263,[-945.77906531],[-604.54474104]
335,1.4955,[-951.965373],[-610.73104874]
336,-0.40618,[-955.62749673],[-614.39317246]
337,1.4633,[-954.63285854],[-613.39853427]
338,0.42687,[-958.21613212],[-616.98180785]
339,0.41621,[-959.2614352],[-602.35259063]
340,-0.94842,[-960.28063447],[-603.37178991]
341,-0.95058,[-957.95817952],[-601.04933496]
342,-2.8125,[-955.63043524],[-598.72159068]
343,-1.9414,[-948.74329183],[-591.83444727]
344,-2.0775,[-943.98926509],[-587.08042052]
345,-4.2071,[-938.90196182],[-581.99311726]
346,-1.091,[-928.59977478],[-571.69093022]
347,1.6593,[-925.92817533],[-569.01933076]
348,-0.19359,[-929.99140628],[-573.08256172]
349,0.5667,[-929.51735043],[-558.65491868]
350,1.6394,[-930.90506391],[-560.04263216]
351,0.78484,[-934.9195645],[-564.05713275]
352,3.174,[-936.84145095],[-565.9790192]
353,1.6874,[-944.61382186],[-573.75139011]
354,3.0325,[-948.74586303],[-577.88343128]
355,1.0654,[-956.1717341],[-585.30930235]
356,1.9606,[-958.78064525],[-587.9182135]
357,-0.023889,[-963.58168822],[-592.71925647]
358,0.83956,[-963.52318975],[-592.660758]
359,0.83676,[-965.57907246],[-580.53964125]
360,-0.63943,[-967.62809863],[-582.58866743]
361,-0.34073,[-966.06228668],[-581.02285548]
362,0.35759,[-965.22791997],[-580.18848877]
363,0.13671,[-966.10357281],[-581.06414161]
364,1.6315,[-966.43834308],[-581.39891188]
365,1.8602,[-970.43349845],[-585.39406724]
366,0.14178,[-974.98868571],[-589.94925451]
367,1.6434,[-975.3358712],[-590.29644]
368,2.5283,[-979.36016684],[-594.32073564]
369,2.1238,[-985.55137206],[-586.55845339]
370,1.9253,[-990.75205301],[-591.75913434]
371,1.4972,[-995.46665469],[-596.47373601]
372,1.9517,[-999.1329413],[-600.14002263]
373,1.9695,[-1003.9121903],[-604.91927163]
374,0.41043,[-1008.73502726],[-609.74210859]
375,2.8783,[-1009.74007269],[-610.74715402]
376,1.1003,[-1016.78834464],[-617.79542597]
377,1.1003,[-1019.48271759],[-620.48979891]
378,2.4667,[-1022.17709053],[-623.18417185]
379,2.0372,[-1028.217452],[-614.88769248]
380,1.5935,[-1033.20607016],[-619.87631064]
381,1.8329,[-1037.10817257],[-623.77841305]
382,-0.15832,[-1041.59650862],[-628.2667491]
383,1.8201,[-1041.20882061],[-627.87906109]
384,0.44887,[-1045.66581251],[-632.33605299]
385,-0.16389,[-1046.76498835],[-633.43522883]
386,1.5661,[-1046.36366073],[-633.03390121]
387,1.5739,[-1050.19866706],[-636.86890754]
388,-0.0085663,[-1054.05277373],[-640.72301421]
389,0.42601,[-1054.0317969],[-626.43758481]
390,2.4615,[-1055.07499404],[-627.48078195]
391,0.66037,[-1061.10262196],[-633.50840986]
392,0.65518,[-1062.71971099],[-635.12549889]
393,2.0145,[-1064.32409094],[-636.72987885]
394,1.8031,[-1069.25712219],[-641.6629101]
395,1.1263,[-1073.67248514],[-646.07827305]
396,1.1263,[-1076.43052589],[-648.8363138]
397,2.9716,[-1079.18856665],[-651.59435456]
398,0.68939,[-1086.46530811],[-658.87109602]
399,1.3775,[-1088.15346022],[-646.15670276]
400,0.68671,[-1091.52663001],[-649.52987255]
401,1.6054,[-1093.20821943],[-651.21146198]
402,1.8458,[-1097.13946211],[-655.14270465]
403,1.3922,[-1101.6593872],[-659.66262974]
404,0.0053429,[-1105.0685538],[-663.07179634]
405,2.074,[-1105.08163729],[-663.08487983]
406,2.3266,[-1110.16036989],[-668.16361243]
407,1.6454,[-1115.85765979],[-673.86090234]
408,2.8354,[-1119.88685296],[-677.8900955]
409,0.49679,[-1126.83007302],[-670.19290219]
410,1.1966,[-1128.04659354],[-671.40942272]
411,0.72483,[-1130.97678228],[-674.33961145]
412,0.95438,[-1132.75171851],[-676.11454768]
413,0.9513,[-1135.08876808],[-678.45159726]
414,2.8354,[-1137.41827547],[-680.78110464]
415,1.682,[-1144.36149554],[-687.72432471]
416,2.1679,[-1148.48031339],[-691.84314256]
417,-0.95265,[-1153.78898475],[-697.15181392]
418,-0.14664,[-1151.45617153],[-694.81900071]
419,-0.15257,[-1151.09708506],[-679.93747297]
420,0.00062616,[-1150.72347743],[-679.56386534]
421,1.363,[-1150.72501074],[-679.56539866]
422,2.0601,[-1154.06267349],[-682.9030614]
423,-0.31705,[-1159.10736829],[-687.94775621]
424,2.9716,[-1158.33098827],[-687.17137618]
425,-0.47505,[-1165.60772973],[-694.44811764]
426,1.3558,[-1164.44444529],[-693.28483321]
427,-1.1047,[-1167.76447695],[-696.60486487]
428,0.41485,[-1165.05932946],[-693.89971737]
429,-0.17703,[-1166.07519842],[-680.71651907]
430,1.2852,[-1165.64169406],[-680.28301472]
431,0.84237,[-1168.78884311],[-683.43016377]
432,-0.029129,[-1170.85160685],[-685.4929275]
433,0.16447,[-1170.78027686],[-685.42159751]
434,1.4748,[-1171.18302476],[-685.82434542]
435,1.2612,[-1174.79445911],[-689.43577976]
436,1.0436,[-1177.88283787],[-692.52415853]
437,0.16268,[-1180.438366],[-695.07968666]
438,0.59278,[-1180.83673062],[-695.47805127]
439,-0.34126,[-1182.28830782],[-683.00438201]
440,1.6553,[-1181.45264326],[-682.16871745]
441,0.1452,[-1185.50607917],[-686.22215336]
442,1.4342,[-1185.86163942],[-686.57771362]
443,-0.046997,[-1189.37365403],[-690.08972822]
444,1.4233,[-1189.25856956],[-689.97464375]
445,-0.19793,[-1192.74389266],[-693.45996685]
446,-4.0792,[-1192.25920918],[-692.97528337]
447,0.88656,[-1182.27021881],[-682.986293]
448,-0.50003,[-1184.44119334],[-685.15726753]
449,0.26455,[-1183.21673883],[-670.59926022]
450,1.4573,[-1183.86455884],[-671.24708023]
451,0.26455,[-1187.43313985],[-674.81566124]
452,1.4573,[-1188.08095986],[-675.46348126]
453,0.86493,[-1191.64954087],[-679.03206227]
454,1.67,[-1193.76754868],[-681.15007007]
455,0.87569,[-1197.85698139],[-685.23950278]
456,0.87569,[-1200.00133787],[-687.38385927]
457,0.87569,[-1202.14569436],[-689.52821575]
458,1.686,[-1204.29005084],[-691.67257224]
459,0.076253,[-1208.41866375],[-682.49914161]
460,1.686,[-1208.6053892],[-682.68586706]
461,1.7021,[-1212.73400211],[-686.81447997]
462,0.081997,[-1216.90204008],[-690.98251794]
463,1.7021,[-1217.10283123],[-691.18330909]
464,0.081997,[-1221.2708692],[-695.35134706]
465,1.7021,[-1221.47166035],[-695.55213821]
466,0.89753,[-1225.63969832],[-699.72017618]
467,1.7183,[-1227.83753577],[-701.91801363]
468,0.087843,[-1232.04524369],[-706.12572155]
469,0.081997,[-1232.2603503],[-693.09694042]
470,-0.9152,[-1232.46114144],[-693.29773157]
471,-1.5834,[-1230.22003437],[-691.05662449]
472,-0.36787,[-1226.34266446],[-687.17925458]
473,-2.0567,[-1225.44183834],[-686.27842847]
474,-0.87672,[-1220.40546933],[-681.24205945]
475,-1.4815,[-1218.25859062],[-679.09518074]
476,-2.6241,[-1214.63074956],[-675.46733969]
477,-2.178,[-1208.20495293],[-669.04154306]
478,-0.036534,[-1202.87154908],[-663.7081392]
479,-0.90616,[-1202.782086],[-651.52872735]
480,-2.4373,[-1200.56311573],[-649.30975709]
481,-2.9694,[-1194.59474786],[-643.34138922]
482,-3.5147,[-1187.32339368],[-636.07003503]
483,-1.8457,[-1178.71672952],[-627.46337087]
484,-0.98341,[-1174.19704931],[-622.94369066]
485,-2.4483,[-1171.78891217],[-620.53555352]
486,-3.8294,[-1165.79360792],[-614.54024927]
487,-1.9441,[-1156.41631832],[-605.16295968]
488,-0.048456,[-1151.65567992],[-600.40232127]
489,-1.0641,[-1151.53702271],[-589.71745187]
490,-1.0035,[-1148.93129495],[-587.11172412]
491,-0.66563,[-1146.47396218],[-584.65439135]
492,-0.32669,[-1144.84399267],[-583.02442183]
493,-0.027036,[-1144.04400657],[-582.22443574]
494,0.012859,[-1143.97780184],[-582.15823101]
495,0.012859,[-1144.00929047],[-582.18971964]
496,0.012859,[-1144.04077911],[-582.22120827]
497,0.012859,[-1144.07226774],[-582.2526969]
498,0.012859,[-1144.10375637],[-582.28418553]
499,0.012859,[-1144.135245],[-572.31449568]
500,0.012859,[-1144.16673363],[-572.34598431]
501,0.013668,[-1144.19822227],[-572.37747295]
502,0.34446,[-1144.23169195],[-572.41094263]
503,1.4125,[-1145.07519254],[-573.25444322]
504,2.4117,[-1148.53406901],[-576.71331969]
505,3.237,[-1154.43974857],[-582.61899925]
506,3.4134,[-1162.36639149],[-590.54564217]
507,2.4722,[-1170.72499605],[-598.90424673]
508,0.71203,[-1176.77882572],[-604.9580764]
509,-0.68697,[-1178.5224178],[-596.42117318]
510,-0.9946,[-1176.8401917],[-594.73894708]
511,-1.1241,[-1174.40465291],[-592.3034083]
512,-2.2309,[-1171.65199943],[-589.55075482]
513,-1.7637,[-1166.18905606],[-584.08781144]
514,-0.84058,[-1161.87017434],[-579.76892972]
515,0.20754,[-1159.81179389],[-577.71054928]
516,1.1729,[-1160.32000998],[-578.21876536]
517,1.9691,[-1163.19216305],[-581.09091843]
518,2.7371,[-1168.0140205],[-585.91277589]
519,3.2787,[-1174.71652725],[-582.79891841]
520,2.6509,[-1182.74528356],[-590.82767471]
521,1.5214,[-1189.23670701],[-597.31909817]
522,-0.0058875,[-1192.96225367],[-601.04464483]
523,-1.3985,[-1192.94783659],[-601.03022774]
524,-1.9241,[-1189.52324279],[-597.60563394]
525,-1.808,[-1184.81157963],[-592.89397078]
526,-1.6276,[-1180.38421775],[-588.4666089]
527,-0.95015,[-1176.39861255],[-584.48100371]
528,-0.20711,[-1174.07192124],[-582.1543124]
529,-0.2798,[-1173.56475812],[-572.21928033]
530,-0.026526,[-1172.87959448],[-571.5341167]
531,0.059693,[-1172.81463862],[-571.46916083]
532,0.71684,[-1172.96081258],[-571.61533479]
533,1.6183,[-1174.7161832],[-573.37070541]
534,2.4505,[-1178.67901491],[-577.33353712]
535,3.2363,[-1184.67970644],[-583.33422865]
536,3.4634,[-1192.60463523],[-591.25915744]
537,1.8132,[-1201.08567789],[-599.74020011]
538,0.52817,[-1205.52577334],[-604.18029555]
539,-0.37846,[-1206.81913602],[-595.78159406]
540,-1.398,[-1205.89237751],[-594.85483555]
541,-1.9658,[-1202.46900809],[-591.43146613]
542,-1.8804,[-1197.65523155],[-586.61768959]
543,-1.5482,[-1193.0505793],[-582.01303734]
544,-0.64195,[-1189.25940581],[-578.22186385]
545,-0.15352,[-1187.68742298],[-576.64988102]
546,-0.0033494,[-1187.31148902],[-576.27394706]
547,1.1079,[-1187.30328714],[-576.26574518]
548,1.9138,[-1190.01627067],[-578.97872871]
549,2.325,[-1194.70271158],[-574.54068297]
550,3.0374,[-1200.39608347],[-580.23405486]
551,3.3647,[-1207.83395348],[-587.67192487]
552,3.7312,[-1216.07330332],[-595.91127471]
553,0.086116,[-1225.21012447],[-605.04809587]
554,-2.2017,[-1225.42100207],[-605.25897346]
555,-2.3495,[-1220.02956255],[-599.86753394]
556,-2.0339,[-1214.27619599],[-594.11416739]
557,-1.4035,[-1209.29565875],[-589.13363015]
558,-0.91224,[-1205.85882114],[-585.69679254]
559,-0.37758,[-1203.6249624],[-574.50352188]
560,-0.056562,[-1202.70035881],[-573.57891829]
561,0.012859,[-1202.56185193],[-573.44041141]
562,0.012859,[-1202.59334056],[-573.47190004]
563,0.012859,[-1202.62482919],[-573.50338867]
564,0.012859,[-1202.65631782],[-573.5348773]
565,0.012859,[-1202.68780646],[-573.56636594]
566,0.012859,[-1202.71929509],[-573.59785457]
567,0.012859,[-1202.75078372],[-573.6293432]
568,0.014561,[-1202.78227235],[-573.66083183]
569,0.70309,[-1202.81792878],[-565.06274343]
570,2.0434,[-1204.53962892],[-566.78444358]
571,3.5113,[-1209.5434294],[-571.78824405]
572,3.4062,[-1218.14176777],[-580.38658242]
573,3.9559,[-1226.48274124],[-588.72755589]
574,7.1727,[-1236.16979924],[-598.41461389]
575,3.4216,[-1253.73403517],[-615.97884982]
576,3.9417,[-1262.11271957],[-624.35753423]
577,6.9749,[-1271.76500515],[-634.0098198]
578,8.1,[-1288.84487593],[-651.08969059]
579,3.415,[-1308.67984896],[-660.77648408]
580,-0.024227,[-1317.04237154],[-669.13900665]
581,-0.25555,[-1316.98304538],[-669.07968049]
582,-0.3689,[-1316.35726422],[-668.45389934]
583,-1.9022,[-1315.45391588],[-667.550551]
584,-2.9537,[-1310.79588061],[-662.89251573]
585,-2.95,[-1303.56297199],[-655.65960711]
586,-2.7289,[-1296.33912379],[-648.43575891]
587,-3.271,[-1289.65669689],[-641.75333201]
588,-3.5216,[-1281.64679606],[-633.74343117]
589,-2.3332,[-1273.02323544],[-615.91207711]
590,-2.2084,[-1267.3097837],[-610.19862538]
591,-2.0047,[-1261.90193748],[-604.79077915]
592,-1.3769,[-1256.99290409],[-599.88174577]
593,-0.34366,[-1253.62120356],[-596.51004523]
594,-0.035978,[-1252.77966197],[-595.66850365]
595,0.012859,[-1252.69156041],[-595.58040208]
596,0.012859,[-1252.72304904],[-595.61189071]
597,0.012859,[-1252.75453767],[-595.64337935]
598,0.012859,[-1252.7860263],[-595.67486798]
599,0.012859,[-1252.81751494],[-587.13693189]
600,0.012859,[-1252.84900357],[-587.16842052]
